time,speed,steering_angle
8.174945,1.0,0.2552543878555298
8.199940,1.0,0.2474004030227661
8.224943,1.0,0.2552543878555298
8.249937,1.0,0.25132739543914795
8.274961,1.0,0.2474004030227661
8.299969,1.0,0.2356194257736206
8.324951,1.0,0.21991145610809326
8.349959,1.0,0.23169243335723877
8.374966,1.0,0.2238384485244751
8.399967,1.0,0.20813049376010895
8.424964,1.0,0.2042035013437271
8.449955,1.0,0.1924225240945816
8.474956,1.0,0.1806415617465973
8.499966,1.0,0.17278757691383362
8.524963,1.0,0.1806415617465973
8.550002,1.0,0.1610065996646881
8.574964,1.0,0.15707960724830627
8.599942,1.0,0.1492256224155426
8.624954,1.0,0.14529862999916077
8.649955,1.0,0.14529862999916077
8.674958,1.0,0.14137165248394012
8.699956,1.0,0.13351766765117645
8.724955,1.0,0.14137165248394012
8.749957,1.0,0.1374446600675583
8.774956,1.0,0.1374446600675583
8.799950,1.0,0.13351766765117645
8.824951,1.0,0.1178097054362297
8.849954,1.0,0.12173669040203094
8.874952,1.0,0.1178097054362297
8.899950,1.0,0.12173669040203094
8.924952,1.0,0.12959067523479462
8.950016,1.0,0.1178097054362297
8.974964,1.0,0.12173669040203094
8.999957,1.0,0.12566368281841278
9.024947,1.0,0.11388271301984787
9.049945,1.0,0.11388271301984787
9.074934,1.0,0.10210173577070236
9.099932,1.0,0.1178097054362297
9.124937,1.0,0.09817475080490112
9.149935,1.0,0.09424775838851929
9.174930,1.0,0.1060287281870842
9.199967,1.0,0.1060287281870842
9.224961,1.0,0.09817475080490112
9.249946,1.0,0.11388271301984787
9.274948,1.0,0.1060287281870842
9.299948,1.0,0.1060287281870842
9.324954,1.0,0.12173669040203094
9.349955,1.0,0.14137165248394012
9.374950,1.0,0.1492256224155426
9.399950,1.0,0.2788163125514984
9.424942,1.0,0.3102322518825531
9.449949,1.0,0.31415924429893494
9.474946,1.0,0.3612831234931946
9.499947,1.0,0.4044800400733948
9.524945,1.0,0.42411497235298157
9.549948,1.0,0.4162609875202179
9.574941,1.0,0.44374993443489075
9.599946,1.0,0.4084070324897766
9.624948,1.0,0.43196895718574524
9.649942,1.0,0.4084070324897766
9.674947,1.0,0.40055304765701294
9.699941,1.0,0.3769910931587219
9.724943,1.0,0.32594022154808044
9.749943,1.0,0.30630525946617126
9.774944,1.0,0.2748893201351166
9.799948,1.0,0.2591813802719116
9.824942,1.0,0.2552543878555298
9.849957,1.0,0.22776544094085693
9.874966,1.0,0.18849553167819977
9.899954,1.0,0.18456853926181793
9.924936,1.0,0.16493359208106995
9.949935,1.0,0.1492256224155426
9.974926,1.0,0.1178097054362297
10.024934,1.0,0.10210173577070236
10.049934,1.0,0.07068581134080887
10.074925,1.0,0.07853979617357254
10.099944,1.0,0.08639377355575562
10.124943,1.0,0.08246678113937378
10.149947,1.0,0.11388271301984787
10.174944,1.0,0.1178097054362297
10.199941,1.0,0.12173669040203094
10.224946,1.0,0.12959067523479462
10.249941,1.0,0.14529862999916077
10.274936,1.0,0.1492256224155426
10.299948,1.0,0.1374446600675583
10.324936,1.0,0.12959067523479462
10.349943,1.0,0.13351766765117645
10.374932,1.0,0.12566368281841278
10.399931,1.0,0.12566368281841278
10.424930,1.0,0.1060287281870842
10.449926,1.0,0.1060287281870842
10.474929,1.0,0.09817475080490112
10.499946,1.0,0.08246678113937378
10.524921,1.0,0.09032076597213745
10.574929,1.0,0.1060287281870842
10.599939,1.0,0.09424775838851929
10.624935,1.0,0.09032076597213745
10.649933,1.0,0.07853979617357254
10.674935,1.0,0.09032076597213745
10.724934,1.0,0.09817475080490112
10.749971,1.0,0.09817475080490112
10.774948,1.0,0.09817475080490112
